distance_m,easting_m,northing_m,elevation_m_egm2008,dem_valid
9240.0,338544.90472236736,3121150.0157663426,1537.3270263671875,True
9270.0,338539.2489661767,3121121.130390646,1540.4569091796875,True
9300.0,338528.5393942415,3121093.3558335677,1547.148681640625,True
9330.0,338514.07955022826,3121067.0744732437,1534.5958251953125,True
9360.0,338494.9831980029,3121044.0027969284,1538.4725341796875,True
9390.0,338476.65744145145,3121020.260228499,1532.80859375,True
9420.0,338457.8256629546,3120996.9071961767,1529.99462890625,True
9450.0,338440.1466782229,3120972.751913096,1532.0911865234375,True
9480.0,338425.33131878736,3120946.6771928817,1528.40087890625,True
9510.0,338413.0582486881,3120919.376929516,1528.40087890625,True
9540.0,338398.0400146599,3120893.406703358,1526.7261962890625,True
9570.0,338384.10306033306,3120867.0425008284,1526.67529296875,True
9600.0,338378.89395741076,3120837.4982078644,1527.8560791015625,True
9630.0,338373.36127095815,3120808.018860929,1530.4013671875,True
9660.0,338366.76659704273,3120778.7526641153,1528.4713134765625,True
9690.0,338360.1719231273,3120749.4864673014,1531.0118408203125,True
9720.0,338353.5772492119,3120720.2202704875,1534.7459716796875,True
9750.0,338347.7511754779,3120690.7936614184,1542.21484375,True
9780.0,338342.0891048891,3120661.3328237412,1549.979736328125,True
9810.0,338336.42703430017,3120631.871986064,1529.8328857421875,True
9840.0,338330.7649637113,3120602.4111483865,1533.75634765625,True
9870.0,338325.1028931225,3120572.9503107094,1536.451416015625,True
9900.0,338319.44082253356,3120543.4894730323,1537.6876220703125,True
9930.0,338313.7787519447,3120514.0286353547,1537.8323974609375,True
9960.0,338308.7006999645,3120484.4718809794,1539.4654541015625,True
9990.0,338304.64246774494,3120454.747635804,1523.0208740234375,True
10020.0,338300.5842355254,3120425.0233906284,1523.511962890625,True
10050.0,338293.36881801067,3120396.060173411,1525.84130859375,True
10080.0,338279.0352416925,3120370.110689867,1532.664794921875,True
10110.0,338261.1188274064,3120346.0809887676,1519.1348876953125,True
10140.0,338251.197889493,3120317.768889041,1519.1348876953125,True
10170.0,338242.8087747236,3120289.02262535,1509.210693359375,True
10200.0,338236.39870439435,3120259.715441958,1514.7384033203125,True
10230.0,338228.17605214874,3120231.062031921,1524.08642578125,True
10260.0,338214.40265565115,3120204.410698954,1512.1766357421875,True
10290.0,338197.8419564528,3120179.5607300065,1523.188720703125,True
10320.0,338176.6908547505,3120158.3155942596,1514.187255859375,True
10350.0,338153.22832680534,3120139.6205769754,1502.88427734375,True
10380.0,338131.6020080792,3120118.9816499837,1508.833984375,True
10410.0,338115.6502812317,3120093.8029057444,1498.557373046875,True
10440.0,338105.10432491027,3120065.9659209796,1498.6092529296875,True
10470.0,338097.9544048617,3120036.830398961,1494.488525390625,True
