line,chainage_km,thalweg_z,unosat_affected_cells,unosat_affected_trimline_m,unosat_affected_trimline_p25_m,unosat_affected_trimline_p75_m,unosat_affected_width_m,unosat_floodextent_cells,unosat_floodextent_trimline_m,unosat_floodextent_trimline_p25_m,unosat_floodextent_trimline_p75_m,unosat_floodextent_width_m,planet_disturbed_p50_cells,planet_disturbed_p50_trimline_m,planet_disturbed_p50_trimline_p25_m,planet_disturbed_p50_trimline_p75_m,planet_disturbed_p50_width_m
route,54.25,510.2809753417969,152,19.326202392578125,16.001129150390625,36.958038330078125,273.6,151,19.309600830078125,15.994476318359375,37.597564697265625,271.8,0,,,,0.0
route,54.75,506.835693359375,245,38.28216552734375,24.585205078125,48.66644287109375,441.0,245,37.895751953125,24.50335693359375,48.62982177734375,441.0,0,,,,0.0
route,55.25,504.59564208984375,95,27.68988037109375,18.47137451171875,32.74951171875,171.0,95,27.68988037109375,18.47137451171875,32.74951171875,171.0,0,,,,0.0
route,55.75,500.69927978515625,135,24.92108154296875,23.027587890625,32.05450439453125,243.0,135,24.92108154296875,23.027587890625,32.05450439453125,243.0,0,,,,0.0
route,56.25,497.1657409667969,185,24.537017822265625,22.729034423828125,32.263336181640625,333.0,185,24.537017822265625,22.729034423828125,32.263336181640625,333.0,0,,,,0.0
route,56.75,493.4424743652344,152,28.705230712890625,24.222686767578125,37.521759033203125,273.6,152,28.705230712890625,24.222686767578125,37.521759033203125,273.6,0,,,,0.0
route,57.25,492.0613708496094,142,25.128204345703125,21.608062744140625,29.503997802734375,255.6,142,25.128204345703125,21.608062744140625,29.503997802734375,255.6,0,,,,0.0
route,57.75,487.9946594238281,151,23.823150634765625,19.21905517578125,28.981597900390625,271.8,151,23.823150634765625,19.21905517578125,28.981597900390625,271.8,0,,,,0.0
route,58.25,485.7364196777344,175,26.835601806640625,23.957366943359375,30.236297607421875,315.0,175,26.835601806640625,23.957366943359375,30.236297607421875,315.0,0,,,,0.0
route,58.75,479.4710388183594,136,25.928314208984375,21.479095458984375,29.93603515625,244.8,135,25.928314208984375,20.605804443359375,29.93603515625,243.0,0,,,,0.0
route,59.25,477.5275573730469,146,21.250091552734375,20.291290283203125,22.653411865234375,262.8,146,21.250091552734375,20.291290283203125,22.653411865234375,262.8,0,,,,0.0
route,59.75,475.9033203125,169,19.904327392578125,14.8179931640625,22.910919189453125,304.2,169,19.904327392578125,14.8179931640625,22.910919189453125,304.2,0,,,,0.0
route,60.25,473.6246337890625,153,21.00933837890625,18.743621826171875,25.282684326171875,275.4,153,21.00933837890625,18.743621826171875,25.282684326171875,275.4,0,,,,0.0
route,60.75,470.7174987792969,179,25.909698486328125,23.082763671875,30.74517822265625,322.2,179,25.909698486328125,23.082763671875,30.74517822265625,322.2,0,,,,0.0
route,61.25,467.5257263183594,205,19.070770263671875,16.976593017578125,20.083831787109375,369.0,201,17.848388671875,16.620269775390625,19.749908447265625,361.8,0,,,,0.0
